Nombre,Cargo,Departamento,Facultad,Perfil,Formacion_Academica,URL_Perfil
"Alexander Caicedo Dorado, Ph.D.",Profesor Temporal,Ingeniería Electrónica,Facultad de Ingeniería,"Soy un Ingeniero con interés en el procesamiento de señales biomédicas e inteligencia artificial, especificamente en el aprendizaje automático de máquina y análisis de datos. El foco de mis actividades de investigación está orientado al uso de técnicas avanzadas de procesamiento de señales y técnicas de aprendizaje automático de máquina para tratar de entender algunos procesos (pato)fisiológicos, así mismo como desarrollar nuevas técnicas para mejorar el diagnóstico y prognosis actual. Mi línea principal de trabajo se ha relacionado con el desarrollo de modelos interpretables, y en los últimos años en el desarrollo de nuevos algoritmos para el entrenamiento de modelos de aprendizaje automático de máquina.","Doctorado, Doctorado En Ingeniería | Fecha de grado: | 07 jun 2013 | Maestría, Maestría En Ingeniería De Control Industrial | Fecha de grado: | 17 dic 2007 | Pregrado, Ingeniería Electrónica | Fecha de grado: | 10 dic 2004",https://perfilesycapacidades.javeriana.edu.co/es/persons/acaicedod
"Arturo Fajardo Jaimes, Ph.D.",Profesor Asociado,Ingeniería Electrónica,Facultad de Ingeniería,"Arturo Fajardo
 – Profesor Asociado, Departamento de Ingeniería Electrónica, Pontificia Universidad Javeriana, Bogotá, Colombia.
Formación:
 Ph.D. en Ingeniería Eléctrica (Universidade Federal de Santa Catarina, Brasil), M.Sc. y B.Sc. en Ingeniería Electrónica (Pontificia Universidad Javeriana, Colombia).
Áreas de investigación:
 Electrónica de potencia, redes de sensores inalámbricos, circuitos RF, microredes agua-energía, desarrollo sostenible.
Resumen:
 Líder del grupo de investigación SISCOM, mentor de estudiantes y autor de más de 50 publicaciones y 20 proyectos relacionados con energía limpia, acceso al agua y ciudades sostenibles. Apasionado por la investigación, la docencia y la formación de futuros ingenieros.
Intereses personales:
 Voleibol, tenis, tenis de mesa y juegos de estrategia de mesa.","Doctorado, Doctor en Ingeniería Eléctrica | Fecha de grado: | 28 mar 2018 | Maestría, Magister en Ingeniería Electrónica | Fecha de grado: | 01 abr 2008 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 sept 2002",https://perfilesycapacidades.javeriana.edu.co/es/persons/fajardoa
"Camilo Alberto Otálora Sánchez, MSc.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,,"Maestría, Magister en Ingeniería Electrónica | Fecha de grado: | 06 sept 2008 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 oct 1990",https://perfilesycapacidades.javeriana.edu.co/es/persons/camilo.otalora
"Carlos Alberto Parra Rodríguez, Ph.D.",Profesor Titular,Ingeniería Electrónica,Facultad de Ingeniería,,"Doctorado, Doctor en Robótica | Fecha de grado: | 07 jun 1999 | Maestría, Diplome D'etudes Approndies Dea | Fecha de grado: | 01 sept 1995 | Maestría, Magister en Ingeniería Electrica | Fecha de grado: | 01 sept 1994 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 oct 1992",https://perfilesycapacidades.javeriana.edu.co/es/persons/carlos.parra
"Carlos Iván Páez Rueda, Ph.D.",Profesor Titular,Ingeniería Electrónica,Facultad de Ingeniería,,"Doctorado, Doctor en Ingeniería | Fecha de grado: | 06 mar 2017 | Especialización, Especialista en Docencia e Investigacion Universitaria | Fecha de grado: | 01 mar 2004 | Maestría, Magister en Ingeniería Electrica | Fecha de grado: | 01 mar 2002 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 01 oct 1997",https://perfilesycapacidades.javeriana.edu.co/es/persons/paez.carlos
"Catalina Alvarado Rojas, Ph.D.",Profesor Asociado,Ingeniería Electrónica,Facultad de Ingeniería,,"Doctorado, Docteur Spécialité: Cerveau - Cognition - Comportement | Fecha de grado: | 05 nov 2013 | Maestría, Magíster en Ingeniería. Área: Electrónica y de Computadores | Fecha de grado: | 19 sept 2009 | Pregrado, Ingeniera Electrónica | Fecha de grado: | 15 mar 2008",https://perfilesycapacidades.javeriana.edu.co/es/persons/catalina_alvarado
"Daniel Jaramillo Ramírez, Ph.D.",Profesor Asistente,Ingeniería Electrónica,Facultad de Ingeniería,,"Doctorado, Doctor of Philosophy in Telecommunications (icst) | Fecha de grado: | 15 may 2014",https://perfilesycapacidades.javeriana.edu.co/es/persons/d-jaramillo
"David Magín Flórez Rubio, Ph.D.",Profesor Temporal,Ingeniería Electrónica,Facultad de Ingeniería,,,https://perfilesycapacidades.javeriana.edu.co/es/persons/d.florez
"Diego Alejandro Patiño Guevara, Ph.D.",Profesor Titular,Ingeniería Electrónica,Facultad de Ingeniería,"Full Professor of the Department of Electronics received his Electronic Engineering degree from the National University of Colombia, Manizales campus. He completed his Master's in Electronics and Computers at the University of Los Andes, and his Doctorate in Automatic Control and Digital Signal Processing from the University of Lorraine, in France. He is currently the Head of the Department of Electronics at Pontificia Universidad Javeriana. He is classified as a Senior Researcher according to the latest Minciencias classification. He has served as the director of the Master's program in Electronics and of Energy and Sustainability. He was the editor-in-chief of the ""Engineering and University"" journal. He is the author of around 200 journal and conference articles. His interests focus on control systems, energy systems, smart cities, smart agriculture, and applications for early cancer detection.
Profesor Titular del Departamento de Electrónica, recibió el título de Ingeniero Electrónico de la Universidad Nacional de Colombia, sede Manizales, realizó su Maestría en Electrónica y Computadores de la Universidad de Los Andes, y su Doctorado en Control Automático y Procesamiento digital de señales de la Universidad de Lorraine, en Francia. Actualmente es el director de departamento de electrónica de la Pontificia Universidad Javeriana.  Se encuentra clasificado como Investigador Senior según la última clasificación de Minciencias. Ha sido director de la maestría en electrónica y de energía y sostenibilidad. Fue editor en jefe de la revista ingeniería y Universidad.  Es autor de alrededor de 200 artículos de revistas y conferencias.  Sus intereses se centran en sistemas de control, sistemas de energía, smart-city, agricultura inteligente y aplicaciones para la detección temprana de cáncer.","Doctorado, Doctor en Automatizacion y Procesamiento de Señales | Fecha de grado: | 23 abr 2009 | Maestría, Maestría en Electrónica y Computadores | Fecha de grado: | 09 abr 2005",https://perfilesycapacidades.javeriana.edu.co/es/persons/patino-d
"Diego Méndez Chaves, Ph.D.",Profesor Asociado,Ingeniería Electrónica,Facultad de Ingeniería,"Diego Méndez Chaves está vinculado al Departamento de Electrónica de la Pontificia Universidad Javeriana, Bogotá, Colombia, en el nivel de Profesor Titular. Diego recibió su Ph.D (2012) y su M.Sc (2011) en Ciencias de la Computación de la 
University of South Florida
, Tampa FL, USA, su M.Eng. (2008) de la 
Universidad de Los Andes
, Bogotá, Colombia, y su B.Eng. (2005) en Ingeniería Electrónica de la 
Universidad Nacional
, Bogotá, Colombia. Sus intereres de investigación incluyen Internet de las Cosas (Internet of Things - IoT), sistemas embebidos, redes inalámbricas de sensores (wireless sensor networks - WSN), sensado participativo, diseño de sistemas digitales, sistemas operativos, diseño de alto nivel y TinyML.
Diego también es un Investigador Asociado en el Laboratorio T/ICT4D del International Centre for Theoretical Physics (
ICTP
) en Trieste, Italia.","Doctorado, Doctor en Ciencias de la Computación e Ingeniería | Fecha de grado: | 04 ago 2012 | Maestría, Master of Science in Computer Science | Fecha de grado: | 08 dic 2011 | Maestría, Magister en Ingeniería - Área: Electrónica y Computadores | Fecha de grado: | 15 mar 2008 | Pregrado, Ingeniero Electrónico | Fecha de grado: | 15 abr 2005",https://perfilesycapacidades.javeriana.edu.co/es/persons/diego-mendez
